,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
145,N/A,2/17/2019 10:13 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 Ellis,African American,Failed to stop at light,No
146,N/A,2/18/2019 12:27 AM,Verbal Warning,Male,Traffic Sign/Signal,1200 Midway Plaisance,Caucasian,Failed to stop at light,No
147,N/A,2/18/2019 12:52 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 Kenwood,African American,Failed to stop at light,No
148,Two Citations issued,2/18/2019 2:26 PM,Citation Issued,Female,Lane Violation,5900 S Cottage Grove,African American,Failure to signal when required,No
149,N/A,2/20/2019 1:45 PM,Verbal Warning,Male,Moving Violation � Other,1509 W 53rd,African American,Utilizing cell phone while driving in high pedestrian area,No
150,N/A,2/20/2019 3:59 PM,Verbal Warning,Female,Traffic Sign/Signal,5307 S Drexel,African American,Disobeyed stop sign,No
151,N/A,2/20/2019 6:08 PM,Verbal Warning,Male,Traffic sign/signal,5444 Woodlawn,African American,Failed to stop at light,No
152,N/A,2/20/2019 9:48 PM,Verbal Warning,Male,Lane Violation,5500 Kenwood,African American,Weaving in lane,No
153,N/A,2/21/2019 7:55 AM,Verbal Warning,Female,Traffic sign/signal,6300 S. University,African American,failure to yield to pedestrian,No
154,N/A,2/21/2019 10:03 AM,Verbal Warning,Male,Moving Violation � Other,5300 S. Harper,Caucasian,utilizing cell phone in high pedestrian area,No
155,Two Citations issued,2/21/2019 10:31 AM,Citation Issued,Female,Traffic Sign/Signal,1013 E. 53rd ST.,African American,disobey stopsign,No
156,N/A,2/21/2019 10:57 AM,Verbal Warning,Female,Traffic sign/signal,5500 S. Woodlawn,Caucasian,failure to yield to pedestrian,No
157,N/A,2/21/2019 1:28 PM,Verbal Warning,Female,Traffic Sign/Signal,5200 S. University,African American,disobey stopsign,No
158,N/A,2/21/2019 3:11 PM,Verbal Warning,Male,Traffic sign/signal,1125 E. 55th ST.,African American,failure to yield to pedestrian,No
159,N/A,2/21/2019 3:38 PM,Verbal Warning,Female,Traffic Sign/Signal,5621 S. Woodlawn,Caucasian,disobey stopsign,No
160,N/A,2/21/2019 3:58 PM,Verbal Warning,Male,Lane Violation,5400 S. Woodlawn,African American,operating vehicle down one-way,No
161,N/A,2/22/2019 9:50 PM,Verbal Warning,Male,Lane Violation,1461 E 53rd St,African American,Improper turn,No
162,N/A,2/23/2019 12:10 AM,Verbal Warning,Male,Traffic Sign/Signal,1346 E 53rd Street,Caucasian,Stop Sign Violation,No
163,One Citation Issued,2/23/2019 1:35 AM,Citation Issued,Male,Traffic Sign/Signal,5140 S Hyde Park Blvd,African American,Stop Sign Violation,No
164,N/A,2/23/2019 12:17 PM,Verbal Warning,Male,License plate/registration,5235 S Harper,Caucasian,Expired license plate registration,No
165,N/A,2/23/2019 5:24 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Greenwood,American Indian/Alaskan Native,Failed to yield to peds in crosswalk,No
166,N/A,2/24/2019 4:33 PM,Verbal Warning,Male,Lane Violation,1500 E Midway Plaisance,American Indian/Alaskan Native,Wrong Way Down One Way Street,No
167,N/A,2/24/2019 6:03 PM,Verbal Warning,Female,Moving Violation � Other,5200 S Harper,African American,Using Cell Phone,No
168,N/A,2/24/2019 8:32 PM,Verbal Warning,Male,Traffic Sign/Signal,5100 S Cornell,African American,Red Light Violation,No
169,N/A,2/24/2019 9:10 PM,Verbal Warning,Female,Traffic Sign/Signal,5116 S Dorchester,Caucasian,Red Light Violation,No
170,N/A,2/24/2019 9:34 PM,Verbal Warning,Male,Equipment,5100 S Blackstone,African American,No head lights when required,No
171,Two Citations issued,2/25/2019 7:41 AM,Citation Issued,Male,Lane Violation,5900 S Maryland,African American,Wrong way / one way,No
172,N/A,2/25/2019 8:24 PM,Verbal Warning,Female,Equipment,5100 S Drexel,African American,Driving without headlights,No
173,N/A,2/25/2019 8:41 PM,Verbal Warning,Female,Lane Violation,4800 S Kenwood,African American,Going wrong way on one way,No
174,N/A,2/25/2019 8:42 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Woodlawn,African American,Disobeyed traffic control device,No
175,N/A,2/25/2019 9:42 PM,Verbal Warning,Female,Equipment,5500 S Blackstone,African American,Driving without headlights,No
176,N/A,2/26/2019 5:45 AM,Verbal Warning,Female,Traffic Sign/Signal,5000 S. Kenwood,African American,disobey stopsign,No
177,N/A,2/26/2019 2:07 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S. Kenwood,African American,disobey stopsign,No
178,One Citation Issued,2/26/2019 8:35 PM,Citation Issued,Female,Equipment,5000 S Cornell,African American,Driving without headlights,No
179,N/A,2/26/2019 9:14 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S University,African American,Disobeyed traffic control device,No
180,N/A,2/26/2019 9:56 PM,Verbal Warning,Female,Equipment,5000 S Lake Park,African American,Driving without headlights,No
181,N/A,2/27/2019 3:19 PM,Verbal Warning,Female,Traffic Sign/Signal,1318 E 53rd,African American,Disobeyed traffic control device,No
182,N/A,2/27/2019 4:02 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Kimbark,African American,Failed to yield to peds in crosswalk,No
183,N/A,2/27/2019 6:00 PM,Verbal Warning,Male,Traffic Sign/Signal,5400 S Woodlawn,African American,Red Light Violation,Yes
184,N/A,2/27/2019 6:23 PM,Verbal Warning,Female,Lane Violation,1209 E 53rd,African American,Wrong way on one way street,Yes
185,N/A,2/28/2019 10:31 AM,Verbal Warning,Male,Lane Violation,5100 S Dorchester,African American,Wrong way down one way,No
186,N/A,2/28/2019 12:20 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Dorchester,African American,Disobeyed stop sign,No
187,N/A,2/28/2019 10:50 PM,Verbal Warning,Male,Traffic Sign/Signal,1355 E 53rd Street,Caucasian,Red Light Violation,No
188,Three citations issued,3/1/2019 6:54 AM,Citation Issued,Male,Moving Violation � Other,5700 S Everett,African American,Improper parking on roadway - safety violation,Yes
189,N/A,3/1/2019 5:32 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Ellis,Hispanic,Disobeyed stop sign,No
190,N/A,3/1/2019 8:32 PM,Verbal Warning,Female,Equipment,5506 S Lake Park,African American,Driving without headlights,No
191,N/A,3/1/2019 8:36 PM,Verbal Warning,Male,Traffic Sign/Signal,5000 S Ellis,Asian,Disobeyed stop sign,No
192,N/A,3/1/2019 9:09 PM,Verbal Warning,Male,Traffic Sign/Signal,4800 S Woodlawn,African American,Disobeyed stop sign,No
193,N/A,3/1/2019 10:09 PM,Verbal Warning,Female,Equipment,5000 S Woodlawn,African American,Driving without headlights,No
194,N/A,3/1/2019 10:53 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Greenwood,African American,Disobeyed stop sign,No
195,N/A,3/1/2019 11:13 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Woodlawn,African American,Failed to stop at red light,No
196,N/A,3/2/2019 9:25 AM,Verbal Warning,Female,Traffic Sign/Signal,6100 Dorchester,African American,disobey stopsign,No
197,N/A,3/2/2019 1:19 AM,Verbal Warning,Male,Moving Violation � Other,1160 E. 58th ST.,Caucasian,driving on sidewalk,No
198,N/A,3/2/2019 2:01 PM,Verbal Warning,Male,Lane Violation,5600 S. Woodlawn,Caucasian,Driving down one-way,No
